timestamp,block_number,issued_tao,staked_tao,staked_percentage,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2025-03-01 23:59:48+00:00,5036231,8426464.61615995,6114364.671713699,72.56144718139332,248729,140891,72.502397661844,72.27711465575149
2025-03-02 23:59:48+00:00,5043431,8433662.885924144,6117524.773337497,72.53698489119952,249340,141175,72.50383971480922,72.32072455283227
2025-03-03 23:59:48+00:00,5050631,8440582.184208186,6119936.65443913,72.5060963909475,249878,141506,72.55689937941291,72.35694344014966
2025-03-04 23:59:48.001000+00:00,5057831,8447703.618193278,6108240.097868289,72.30651516600753,250571,141817,72.59253235884046,72.39251794373187
2025-03-05 23:59:48+00:00,5065031,8424455.533528427,6114705.638071402,72.58279913444295,251255,142157,72.62758246763617,72.4263563948762
2025-03-06 23:59:48+00:00,5072231,8427459.969875574,6138352.942502962,72.83752120383659,252156,142750,72.63216721340915,72.45290559907215
2025-03-07 23:59:48+00:00,5079431,8434407.917692803,6141629.047791739,72.8163625440558,253077,143312,72.61604357467976,72.46906677144995
2025-03-08 23:59:48+00:00,5086631,8441287.325770525,6145831.007058712,72.80679794296326,253599,143648,72.61058048723194,72.46458172665005
2025-03-09 23:59:48+00:00,5093831,8448463.493533801,6130972.07185343,72.56907811161035,254159,143955,72.56689819935177,72.45729795652936
2025-03-10 23:59:48+00:00,5101031,8455638.55748341,6121309.946666148,72.39323091984183,254654,144252,72.48142575124976,72.44492229698007
2025-03-11 23:59:48+00:00,5108231,8462571.902666878,6115754.612312478,72.2682735538728,255302,144588,72.40364090688736,72.43523390324334
2025-03-12 23:59:48.001000+00:00,5115431,8449202.878126474,6106832.317618496,72.27702311928181,256003,144888,72.33835269336578,72.41267755319494
2025-03-13 23:59:48+00:00,5122631,8456364.65175184,6108811.363075482,72.2392140671224,256599,145170,72.27352524640239,72.39939085985263
2025-03-14 23:59:48+00:00,5129831,8463209.622171102,6116519.740314847,72.27186863351909,257116,145403,72.24467107453192,72.39147602685989
2025-03-15 23:59:48+00:00,5137031,8470353.886307064,6128282.439938239,72.34978044831217,257556,145605,72.23250239198394,72.38668317323906
2025-03-16 23:59:48+00:00,5144231,8477210.876195304,6113364.866738915,72.11528598286661,257914,145756,72.24547121270655,72.37709047606698
2025-03-17 23:59:48+00:00,5151431,8484353.205921758,6124960.779425002,72.19125171674855,258374,145974,72.25625208718002,72.35232713753312
2025-03-18 23:59:48+00:00,5158631,8491528.695995487,6129448.036734218,72.18309277603689,258811,146119,72.25046094127296,72.34209453610553
2025-03-19 23:59:48+00:00,5165831,8477596.506333089,6135050.496889246,72.36780486434013,259429,146422,72.24158628467735,72.32676127321052
2025-03-20 23:59:48.001000+00:00,5173031,8484791.086335527,6135749.538740519,72.31468018843668,259949,146678,72.26463353237109,72.32417951856068
2025-03-21 23:59:48+00:00,5180231,8491732.217886152,6133691.173001478,72.23133061216971,260371,146879,72.27473651172818,72.33898817420446
2025-03-22 23:59:48+00:00,5187431,8498927.309967484,6143675.494931622,72.28765785214284,260749,147062,72.2977415831813,72.34629915642194
2025-03-23 23:59:48+00:00,5194631,8505867.718695745,6147753.409473176,72.27661671672278,261115,147294,72.27654102300933,72.34318075442708
2025-03-24 23:59:48+00:00,5201831,8513062.951449476,6151707.215034641,72.26197257224817,261572,147497,72.26869670791179,72.33592500820859
2025-03-25 23:59:48+00:00,5209031,8520008.721525354,6163726.038644488,72.34412827620889,262166,147772,72.28354373101679,72.3314835751868
2025-03-26 23:59:48+00:00,5216231,8527200.92028698,6158293.421848855,72.21940094313621,262682,148002,72.28849517256579,72.32979974083626
2025-03-27 23:59:48+00:00,5223431,8534124.255907897,6166738.557361453,72.25976998275388,263137,148221,72.28885718059122,72.33339316965994
2025-03-28 23:59:48+00:00,5230631,8519126.519845646,6162332.298597955,72.33525977390471,263585,148460,72.2255106738954,72.33990066446123
2025-03-29 23:59:48+00:00,5237831,8526026.83409667,6166220.234859688,72.32231794298589,264015,148681,72.20920761277578,72.33740469371159
2025-03-30 23:59:48+00:00,5245031,8533180.54532164,6167710.432076868,72.27915077290082,264496,148937,72.18445012148455,72.3316458964698
