timestamp,block_number,issued_tao,staked_tao,circulating_tao,staked_percentage,circulating_percentage,total_market_cap_usd,staked_market_cap_usd,circulating_market_cap_usd,tao_price_usd,accounts,balance_holders,staked_pct_7d,staked_pct_30d
2024-01-06 23:59:48+00:00,2092081,6004962.835579659,5335306.57074831,669656.2648313493,88.8482862730872,11.151713726912806,1928974211.673254,1713860529.7214797,215113681.95177433,321.23,76833,40157,88.81203120612597,88.75410802619794
2024-01-07 23:59:48+00:00,2098907,6011376.062919948,5340409.727042614,670966.3358773347,88.83839026448429,11.161609735515722,1931034332.691775,1715499816.617899,215534516.07387623,321.23,77143,40313,88.82366482829158,88.78667909929543
2024-01-08 23:59:48+00:00,2105729,6017766.021650382,5338745.476798519,679020.5448518638,88.7164016944341,11.283598305565913,1933086979.1347525,1714965209.5119882,218121769.6227642,321.23,77506,40543,88.80958070436476,88.81346222576225
2024-01-09 23:59:48+00:00,2112555,6023953.815306352,5354284.139116733,669669.6761896191,88.88322027821586,11.116779721784148,1935074684.0908597,1719956694.0084684,215117990.08239135,321.23,77860,40739,88.81073110977704,88.84154278650603
2024-01-10 23:59:48+00:00,2119376,6030118.703981098,5351369.949348356,678748.7546327421,88.74402332768955,11.25597667231046,1937055031.279848,1719020568.8291724,218034462.4506758,321.23,78214,40906,88.81329992034344,88.86914003616221
2024-01-11 23:59:48+00:00,2126201,6036418.226110919,5359693.058786115,676725.1673248047,88.78929288899194,11.21070711100808,1939078626.7736108,1721694201.2738638,217384425.49974704,321.23,78550,41057,88.81570688339765,88.89376900675227
2024-01-12 23:59:48+00:00,2133020,6042693.464272946,5369265.674937764,673427.7893351819,88.85550304153632,11.144496958463677,1941094421.5283985,1724769212.7602582,216325208.7681405,321.23,78954,41265,88.82893640532178,88.91634684668287
2024-01-13 23:59:48+00:00,2139859,6048972.90836057,5375496.472788292,673476.4355722778,88.86626794705205,11.133732052947936,1943111567.352666,1726770731.953783,216340835.3988828,321.23,79296,41437,88.82237580454627,88.94082475987524
2024-01-14 23:59:48+00:00,2146687,6055257.80560954,5380413.79559558,674844.0100139603,88.8552390058638,11.144760994136211,1945130464.8959527,1728350323.559168,216780141.33678448,321.23,79617,41611,88.83260989302474,88.96769797183644
2024-01-15 23:59:48.001000+00:00,2153511,6061583.253469987,5383231.977589253,678351.2758807335,88.80900834790303,11.19099165209696,1947162388.5121639,1729255608.160996,217906780.35116804,321.23,79940,41771,88.84197174178595,88.99302212596602
2024-01-16 23:59:48+00:00,2160327,6067812.634858668,5390480.675571385,677331.959287283,88.8372960727872,11.1627039272128,1949163452.69565,1731584107.413796,217579345.28185394,321.23,80304,41932,88.90215726690488,89.01942851649783
